id	absolute
37053	38.3
37055	39.7
37057	36.2
37059	40
37061	38.8
37063	33.6
37065	33.1
37067	35
37069	34.9
37071	34.7
37073	37.7
37075	43
37077	37.4
37079	35.8
37081	35.4
37083	34.9
37085	36.3
37087	40.2
37089	39.9
37091	35.2
37093	32.5
37095	
37097	35.2
37099	40.8
37101	38.1
37103	38.8
37105	36.8
37107	36.5
37109	37.6
37111	37.8
37113	42.7
37115	40
37117	36.5
37119	35
37121	41.2
37123	35.9
37125	36.8
37127	36.7
37129	35.8
37131	36
37133	39
37135	36.9
37137	38.3
37139	36.2
37141	36.3
37143	39.4
37145	37.1
37147	35.2
37149	38.2
37151	39.1
37153	34.4
37155	33
37157	36.5
37159	35.1
37161	36
37163	36.8
37165	32.9
37167	39.6
37169	38
37171	40.1
37173	39.5
37175	39.5
37177	
37179	38.6
37181	32.7
37183	38.4
37185	36
37187	36.6
37189	43
37191	37.6
37193	38.7
37195	35.4
37197	40.5
37199	39.6
38001	
38003	58
38005	41.4
38007	
38009	62.2
38011	
38013	
38015	52.3
38017	49.9
38019	
38021	
38023	
38025	
38027	
38029	
38031	
38033	
38035	49.3
38037	
38039	
38041	
38043	
38045	
38047	
38049	59.6
38051	
38053	
38055	54.3
38057	59.8
38059	55.9
38061	50.7
38063	
38065	
38067	55.6
38069	
38071	51.4
38073	58.9
38075	
38077	56.2
38079	37.6
38081	
38083	
38085	
38087	
38089	63.6
38091	
38093	53.5
38095	
38097	55
38099	56.4
38101	54.1
38103	
38105	61.6
39001	40.5
39003	39.3
39005	44.7
39007	40.6
39009	39
39011	47.3
39013	45.7
39015	41.5
39017	38.6
39019	43.6
39021	41
39023	36.5
39025	40.7
39027	39
39029	42.9
39031	38.7
39033	40.6
39035	36.4
39037	46.6
39039	41.2
39041	40.9
39043	40.3
39045	41.2
39047	37.5
39049	36
39051	46.7
39053	39.1
39055	46.3
39057	38.9
39059	42.4
39061	35.7
39063	43.1
39065	43.3
39067	45.1
39069	47.3
39071	39
39073	40
39075	46.6
39077	43.4
39079	39.1
39081	40.8
39083	44.3
39085	43.4
39087	39.6
39089	39.9
39091	41
39093	38.3
39095	35.9
39097	39.4
39099	40.3
39101	39.2
39103	44.8
39105	43.8
39107	51.5
39109	42.6
39111	49
39113	35.8
39115	41.7
39117	40.7
39119	40.2
39121	49
39123	44.6
39125	43.8
39127	39.6
