commuting zone id,racial segregation,school exp per student,ts ratio,test score percentile,hs dropout rate,teenage labor force,violent crime,single mothers,divorced
8202,0.157,5.042,17.1,-3.673,-0.006,0.004,0.003,0.277,0.093
8300,0.176,5.145,17.0,-1.210,-0.010,0.004,0.003,0.229,0.092
8401,0.165,5.214,18.2,-6.018,0.011,0.003,0.002,0.291,0.104
8402,0.021,5.394,16.5,-5.032,0.037,0.003,0.002,0.316,0.095
8501,0.082,5.475,15.6,-4.932,0.049,0.003,0.003,0.291,0.105
8502,0.047,5.945,15.5,-4.966,0.068,0.003,0.004,0.369,0.098
8503,0.169,5.177,16.5,-3.559,0.041,0.004,0.002,0.273,0.099
8601,0.113,5.889,16.0,-2.098,0.047,0.003,0.002,0.240,0.104
8602,0.211,5.777,16.4,-8.216,0.054,0.005,0.002,0.268,0.124
8701,0.076,5.188,17.0,-3.211,0.022,0.003,0.002,0.231,0.091
8702,0.055,5.270,16.2,-0.486,0.030,0.003,0.002,0.279,0.086
8800,0.243,5.810,16.6,-9.082,0.038,0.004,0.002,0.269,0.101
8900,0.193,5.704,17.3,-6.074,0.048,0.003,0.001,0.302,0.109
9001,0.080,5.256,16.3,-1.667,0.027,0.003,0.002,0.249,0.104
9002,0.122,5.526,16.8,-6.814,0.013,0.003,0.002,0.333,0.104
9003,0.112,6.142,16.5,-2.796,0.031,0.002,0.004,0.318,0.105
9100,0.317,6.352,18.1,-7.863,0.026,0.004,0.002,0.230,0.102
9200,0.132,4.830,17.6,-6.834,0.089,0.003,0.002,0.267,0.115
9301,0.166,5.547,16.9,-6.911,0.048,0.003,0.002,0.230,0.088
9302,0.088,5.148,15.5,0.165,0.029,0.004,0.001,0.215,0.096
9400,0.200,5.735,16.8,-7.318,0.022,0.004,0.002,0.156,0.096
9500,0.116,4.659,17.8,-14.074,-0.004,0.003,0.002,0.260,0.105
9600,0.154,5.261,18.1,-7.685,0.012,0.003,0.002,0.221,0.107
9701,0.235,5.365,17.4,-9.339,0.025,0.003,0.004,0.312,0.114
9702,0.074,5.941,17.0,-10.217,0.073,0.002,0.003,0.360,0.092
9800,0.277,5.021,17.0,-14.150,-0.019,0.003,0.002,0.304,0.083
9900,0.162,6.107,17.7,2.693,-0.008,0.004,,0.283,0.108
10000,0.132,5.882,18.4,4.031,-0.024,0.005,,0.243,0.133
10101,0.082,5.082,16.5,,0.040,0.003,0.003,0.311,0.109
10102,0.098,5.375,16.3,-5.130,0.018,0.003,0.002,0.301,0.111
10200,0.242,5.742,17.5,-4.581,0.046,0.003,0.004,0.360,0.101
10301,0.041,5.587,15.9,-17.626,0.010,0.002,0.002,0.369,0.092
10302,0.142,4.822,17.2,-11.823,0.006,0.003,0.002,0.248,0.107
10400,0.216,4.355,17.4,-9.971,0.014,0.003,0.001,0.307,0.101
10501,0.134,5.113,19.3,-13.643,0.000,0.002,0.002,0.332,0.085
10502,0.077,4.802,17.6,-14.345,0.007,0.002,0.001,0.318,0.079
10600,0.123,4.647,17.0,-5.220,-0.006,0.003,0.002,0.182,0.107
10700,0.420,5.139,17.3,-12.133,-0.003,0.004,0.002,0.242,0.108
10801,0.272,4.862,16.9,-19.805,0.000,0.003,0.002,0.311,0.092
10802,0.113,5.282,16.9,-20.059,-0.007,0.002,0.002,0.372,0.084
10900,0.138,5.409,19.2,5.390,-0.010,0.004,,0.241,0.121
11001,0.317,4.504,17.8,-11.938,0.000,0.003,0.002,0.273,0.107
11002,0.134,4.630,17.6,-16.944,0.004,0.002,0.003,0.277,0.111
11101,0.265,4.424,17.9,-17.887,0.005,0.003,0.002,0.301,0.113
11102,0.129,4.635,16.7,-10.041,0.006,0.003,0.003,0.262,0.098
11201,0.132,5.618,15.2,-2.029,-0.015,0.003,0.003,0.182,0.091
11202,0.232,6.846,14.9,-8.757,-0.006,0.002,0.002,0.209,0.087
11203,0.068,5.790,,7.398,-0.019,0.003,0.001,0.194,0.097
11301,0.051,5.539,,-2.820,-0.012,0.005,0.001,0.158,0.085
11302,0.356,6.872,18.0,-2.440,0.017,0.006,0.003,0.262,0.092
11303,0.046,4.996,,1.402,,0.005,0.001,0.251,0.074
11304,0.271,7.694,18.9,-6.882,-0.002,0.005,0.001,0.215,0.084
11401,0.088,5.961,18.3,8.530,,0.005,0.001,0.193,0.093
11402,0.051,6.238,17.3,7.498,-0.033,0.006,0.000,0.180,0.098
11403,0.116,6.246,17.2,-1.094,,0.006,0.001,0.223,0.111
11500,0.210,5.998,20.3,-3.269,,0.005,0.001,0.205,0.101
11600,0.474,7.582,20.9,-5.393,,0.005,0.003,0.249,0.105
11700,0.164,7.619,19.1,-1.481,,0.005,0.001,0.228,0.105
11800,0.106,7.390,18.3,2.197,,0.004,0.001,0.205,0.093
11900,0.325,6.193,20.1,-1.907,,0.004,0.001,0.228,0.095
12001,0.119,6.059,19.4,1.666,,0.005,0.002,0.205,0.105
12002,0.063,6.004,18.3,6.417,,0.006,0.001,0.206,0.105
12100,0.183,6.573,18.9,-2.101,,0.005,0.002,0.232,0.106
12200,0.256,7.234,19.8,0.369,,0.005,0.002,0.193,0.095
12301,0.036,6.314,18.8,5.284,,0.007,0.001,0.174,0.105
12302,0.021,6.357,19.1,6.258,,0.007,0.001,0.178,0.107
12401,0.019,5.684,19.2,-1.233,,0.004,0.001,0.184,0.102
12402,0.037,5.917,18.8,-0.154,,0.006,0.001,0.192,0.105
12501,0.355,5.710,18.9,6.093,,0.005,0.002,0.234,0.112
12502,0.066,4.805,20.5,7.924,,0.005,0.000,0.193,0.105
12600,0.120,7.067,18.0,-1.393,,0.005,0.002,0.219,0.116
12701,0.349,6.243,19.1,5.432,-0.015,0.006,0.002,0.225,0.102
12702,0.124,6.080,16.3,-3.840,-0.005,0.003,0.001,0.173,0.101
12800,0.048,6.150,19.5,3.411,,0.006,0.001,0.152,0.094
12901,0.170,5.984,16.6,-3.656,0.015,0.004,0.002,0.223,0.111
12902,0.077,5.556,15.8,-6.920,0.014,0.003,0.001,0.193,0.114
12903,0.090,5.847,16.0,-3.142,0.009,0.004,0.001,0.195,0.106
